rank,score,url,chunk_index,snippet,fts_rank
164,0.491819,https://www.paypal.com/myaccount/privacy/cookiePrefs?locale.x=en_US,7,"… [data]."",""zettleuklink"":{""_message"":[{""type"":""variable-block"",""value"":""link"",""[children]"":[{""type …",-10.078035
165,0.488242,https://ads.tiktok.com/help/,449,"… b,name:""[Data] Collection Standards"",slug:""[data]-collection-standards"",isCopilotInclude …",-9.859566
166,0.487007,https://www.ebay.com/help/policies/member-behaviour-policies/user-privacy-notice-privacy-policy?id=4260,114,… [data] to complete a transaction.\u003C/p>\n\n [Children] …,-9.631472
167,0.482116,https://vimeo.com/terms,44,"… [children]\"":[[\""$\"",\""div\"",null,{\""className\"":\""px-5 *:my-4\"",\""[children]\"":[false …",-9.904760
168,0.482116,https://vimeo.com/legal/terms,44,"… [children]\"":[[\""$\"",\""div\"",null,{\""className\"":\""px-5 *:my-4\"",\""[children]\"":[false …",-9.904760
169,0.475023,https://ads.tiktok.com/help/,457,"… Store Promotion Ads"";LM.[children]=[{_contentId:LN,_parentId:jj,_type …",-9.005506
170,0.472598,https://vimeo.com/legal/privacy,31,"… center\"",\""[children]\"":[[\""$\"",\""span\"",null,{\""className\"":\""sr-only\"",\""[children]\"":\""More\""}],[\""$\"",\""$L32 …",-10.679953
171,0.472598,https://vimeo.com/privacy,31,"… center\"",\""[children]\"":[[\""$\"",\""span\"",null,{\""className\"":\""sr-only\"",\""[children]\"":\""More\""}],[\""$\"",\""$L32 …",-10.679953
172,0.469068,https://vimeo.com/help/guidelines,32,"eft-auto right-0 left-auto\"",\""[children]\"":[\""$L33\"",\""$L34\"",\""$L35 …",-9.941319
173,0.465839,https://snap.com/terms/prior-terms-08-15-2023?lang=en-GB,95,"… [data]"":{},""marks"":[],""value"":""Our services are not directed to [children] …",-8.243067
174,0.460710,https://snap.com/terms-02-26-2024?lang=en-GB,20,"… [data]"":{},""marks"":[],""value"":""Our Services are not directed to [children] …",-8.226352
175,0.457693,https://snap.com/privacy/privacy-policy/2021-11-05?lang=en-GB,107,"… [data]"":{},""marks"":[],""value"":""Our Services are not directed to [children] …",-8.226352
176,0.457693,https://snap.com/terms?lang=en-GB,106,"… [data]"":{},""marks"":[],""value"":""Our Services are not directed to [children] …",-8.226352
177,0.457693,https://snap.com/privacy/transparency/2015-12-31?lang=en-GB,107,"… [data]"":{},""marks"":[],""value"":""Our Services are not directed to [children] …",-8.226352
178,0.448118,https://snap.com/privacy/size-style-solutions-privacy-notice?lang=lv-LV,110,"… Solutions for [children], but the relevant [data] (including Fit Profile …",-8.902681
179,0.445378,https://www.paypal.com/myaccount/privacy/cookiePrefs?locale.x=en_US,29,… Our procedures and policies involving personal [data] are driven by …,-8.245026
180,0.443175,https://www.ebay.com/help/policies/member-behaviour-policies/user-privacy-notice-privacy-policy?id=4260,85,… [data] to complete a transaction.\u003C/p>\n\n [Children] …,-9.643442
181,0.442850,https://snap.com/privacy/size-style-solutions-privacy-notice?lang=mt-MT,140,"… Solutions for [children], but the relevant [data] (including Fit Profile …",-9.360745
182,0.425629,https://pinterest.com/policy,46,".pinterest.com/trademark""}],""style"":""normal""},{""_key"":""e725033e92c5"",""_type"":""block"",""[children] …",-10.192787
183,0.421997,https://tiktok.com/legal/privacy-policy,13,… TikTok may transmit your [data] to its servers or [data] …,-9.006787
184,0.421997,https://tiktok.com/legal/privacy-policy-row,13,… TikTok may transmit your [data] to its servers or [data] …,-9.006787
185,0.421420,https://paypal.com/myaccount/privacy/cookiePrefs,27,"… variable-block"",""value"":""link"",""[children]"":[{""type"":""literal"",""value"":""EU privacy …",-9.175872
186,0.417908,https://www.paypal.com/myaccount/privacy/cookiePrefs?locale.x=en_US,28,"… [data]."",""link"":{""_message"":[{""type"":""variable-block"",""value"":""link"",""[children]"":[{""type …",-8.245026
187,0.415865,https://vimeo.com/features/video-privacy,186,… [children]:1:props:[children]:props:[children]:props:page:0:[data] …,-10.787605
188,0.413433,https://snap.com/privacy/shopping-suite-privacy-notice?lang=en-GB,144,"… features for [children], but the relevant [data] (including Shopper Profile …",-8.864261
189,0.408557,https://www.paypal.com/myaccount/privacy/cookiePrefs?locale.x=en_US,10,"your [data]"",""header"":""Start a [data] request"",""dd"":{""darlabel"":""What …",-8.239041
190,0.407807,https://snap.com/privacy/shopping-suite-privacy-notice,414,"… features for [children], but the relevant [data] (including Shopper Profile …",-8.864261
191,0.407807,https://snap.com/privacy/shopping-suite-privacy-notice?lang=lt-LT,157,"… features for [children], but the relevant [data] (including Shopper Profile …",-8.864261
192,0.407807,https://snap.com/privacy/shopping-suite-privacy-notice?lang=cs-CZ,145,"… features for [children], but the relevant [data] (including Shopper Profile …",-8.864261
193,0.407807,https://snap.com/privacy/shopping-suite-privacy-notice?lang=hu-HU,146,"… features for [children], but the relevant [data] (including Shopper Profile …",-8.864261
194,0.407807,https://snap.com/privacy/shopping-suite-privacy-notice?lang=et-EE,145,"… features for [children], but the relevant [data] (including Shopper Profile …",-8.864261
195,0.407807,https://snap.com/privacy/shopping-suite-privacy-notice?lang=ga-IE,144,"… features for [children], but the relevant [data] (including Shopper Profile …",-8.864261
196,0.407807,https://snap.com/privacy/shopping-suite-privacy-notice?lang=sk-SK,145,"… features for [children], but the relevant [data] (including Shopper Profile …",-8.864261
197,0.407807,https://snap.com/privacy/shopping-suite-privacy-notice?lang=lv-LV,145,"… features for [children], but the relevant [data] (including Shopper Profile …",-8.864261
198,0.406400,https://paypal.com/myaccount/privacy/cookiePrefs,22,"… variable-block"",""value"":""link"",""[children]"":[{""type"":""literal"",""value"":""start a …",-9.763883
199,0.404898,https://snap.com/privacy/size-style-solutions-privacy-notice?lang=lv-LV,36,"… nodeType"":""paragraph""},{""[data]"":{},""content"":[{""[data]"":{},""marks"":[],""value"":""[Children]"",""nodeType"":""text …",-8.692821
200,0.400381,https://paypal.com/myaccount/privacy/cookiePrefs,43,… You can use your [data] and privacy settings to control …,-9.841811
201,0.399673,https://snap.com/privacy/size-style-solutions-privacy-notice,271,"… Solutions for [children], but the relevant [data] (including Fit Profile …",-8.795085
202,0.399091,https://www.paypal.com/myaccount/privacy/cookiePrefs?locale.x=en_US,27,"… variable-block"",""value"":""link"",""[children]"":[{""type"":""literal"",""value"":""Privacy settings …",-9.637765
203,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=gu-IN,129,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
204,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=ga-IE,114,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
205,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=ru-RU,105,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
206,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=lt-LT,106,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
207,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=ms-MY,105,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
208,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=it-IT,105,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
209,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=nb-NO,106,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
210,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=th-TH,104,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
211,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=bg-BG,105,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
212,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=id-ID,105,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
213,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=zh-Hant,104,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
214,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=bn-IN,105,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
215,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=zh-Hans,105,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
216,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=fr-FR,105,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
217,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=lv-LV,106,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
218,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=es-MX,105,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
219,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=nl-NL,105,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
220,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=fil-PH,105,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
221,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=fi-FI,106,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
222,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=pa,105,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
223,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=tr-TR,105,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
224,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=es-AR,167,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
225,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=pt-PT,105,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
226,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=sl-SI,106,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
227,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=hr-HR,106,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
228,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=vi-VN,105,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
229,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=pl-PL,105,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
230,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=cs-CZ,106,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
231,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=ja-JP,103,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
232,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=es-ES,105,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
233,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=el-GR,105,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
234,0.392822,https://snap.com/terms/snap-conversion/2019-07-29,128,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
235,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=bn-BD,104,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
236,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=ro-RO,105,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
237,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=te-IN,105,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
238,0.392822,https://snap.com/terms/snap-conversion/2019-07-29?lang=es,296,… [Data] Subjects whose [data] is included in Event [Data]; (c …,-6.614676
239,0.391089,https://snap.com/terms-02-26-2024,29,"… [data]"":{},""marks"":[],""value"":""Our Services are not directed to [children] …",-7.295326
240,0.391089,https://snap.com/privacy/cookie-information,347,"… [data]"":{},""marks"":[],""value"":""Our Services are not directed to [children] …",-7.295326
241,0.385343,https://snap.com/privacy/size-style-solutions-privacy-notice?lang=cs-CZ,201,"… Solutions for [children], but the relevant [data] (including Fit Profile …",-8.709161
242,0.385343,https://snap.com/privacy/size-style-solutions-privacy-notice?lang=bg-BG,140,"… Solutions for [children], but the relevant [data] (including Fit Profile …",-8.709161
243,0.385343,https://snap.com/privacy/size-style-solutions-privacy-notice?lang=et-EE,140,"… Solutions for [children], but the relevant [data] (including Fit Profile …",-8.709161
244,0.385343,https://snap.com/privacy/size-style-solutions-privacy-notice?lang=lt-LT,140,"… Solutions for [children], but the relevant [data] (including Fit Profile …",-8.709161
245,0.385343,https://snap.com/privacy/size-style-solutions-privacy-notice?lang=hr-HR,140,"… Solutions for [children], but the relevant [data] (including Fit Profile …",-8.709161
246,0.385343,https://snap.com/privacy/size-style-solutions-privacy-notice?lang=hu-HU,141,"… Solutions for [children], but the relevant [data] (including Fit Profile …",-8.709161
247,0.385343,https://snap.com/privacy/size-style-solutions-privacy-notice?lang=sl-SI,140,"… Solutions for [children], but the relevant [data] (including Fit Profile …",-8.709161
248,0.381504,https://snap.com/privacy/transparency/india-10-2022,185,"… [data]"":{},""marks"":[],""value"":""Our Services are not directed to [children] …",-7.237392
249,0.381504,https://snap.com/terms/prior-payment,119,"… [data]"":{},""marks"":[],""value"":""Our Services are not directed to [children] …",-7.237392
250,0.381504,https://snap.com/terms/saudi-privacy,105,"… [data]"":{},""marks"":[],""value"":""Our Services are not directed to [children] …",-7.237392
